"","date","count","package"
"194",2021-02-10,533,"palmerpenguins"
"195",2021-02-11,555,"palmerpenguins"
"196",2021-02-12,536,"palmerpenguins"
"197",2021-02-13,278,"palmerpenguins"
"198",2021-02-14,259,"palmerpenguins"
"199",2021-02-15,440,"palmerpenguins"
"200",2021-02-16,524,"palmerpenguins"
"201",2021-02-17,464,"palmerpenguins"
"202",2021-02-18,591,"palmerpenguins"
"203",2021-02-19,421,"palmerpenguins"
"204",2021-02-20,221,"palmerpenguins"
"205",2021-02-21,243,"palmerpenguins"
"206",2021-02-22,512,"palmerpenguins"
"207",2021-02-23,692,"palmerpenguins"
"208",2021-02-24,690,"palmerpenguins"
"209",2021-02-25,624,"palmerpenguins"
"210",2021-02-26,545,"palmerpenguins"
"211",2021-02-27,341,"palmerpenguins"
"212",2021-02-28,284,"palmerpenguins"
"213",2021-03-01,797,"palmerpenguins"
"214",2021-03-02,574,"palmerpenguins"
"215",2021-03-03,558,"palmerpenguins"
"216",2021-03-04,528,"palmerpenguins"
"217",2021-03-05,650,"palmerpenguins"
"218",2021-03-06,598,"palmerpenguins"
"219",2021-03-07,648,"palmerpenguins"
"220",2021-03-08,1224,"palmerpenguins"
"221",2021-03-09,759,"palmerpenguins"
"222",2021-03-10,943,"palmerpenguins"
"223",2021-03-11,1053,"palmerpenguins"
"224",2021-03-12,920,"palmerpenguins"
"225",2021-03-13,552,"palmerpenguins"
"226",2021-03-14,579,"palmerpenguins"
"227",2021-03-15,899,"palmerpenguins"
"228",2021-03-16,844,"palmerpenguins"
"229",2021-03-17,777,"palmerpenguins"
"230",2021-03-18,826,"palmerpenguins"
"231",2021-03-19,725,"palmerpenguins"
"232",2021-03-20,524,"palmerpenguins"
"233",2021-03-21,564,"palmerpenguins"
"234",2021-03-22,794,"palmerpenguins"
"235",2021-03-23,766,"palmerpenguins"
"236",2021-03-24,782,"palmerpenguins"
"237",2021-03-25,891,"palmerpenguins"
"238",2021-03-26,753,"palmerpenguins"
"239",2021-03-27,469,"palmerpenguins"
"240",2021-03-28,560,"palmerpenguins"
"241",2021-03-29,785,"palmerpenguins"
"242",2021-03-30,838,"palmerpenguins"
"243",2021-03-31,803,"palmerpenguins"
"244",2021-04-01,697,"palmerpenguins"
"245",2021-04-02,541,"palmerpenguins"
"246",2021-04-03,421,"palmerpenguins"
"247",2021-04-04,377,"palmerpenguins"
"248",2021-04-05,629,"palmerpenguins"
"249",2021-04-06,704,"palmerpenguins"
"250",2021-04-07,730,"palmerpenguins"
"251",2021-04-08,919,"palmerpenguins"
"252",2021-04-09,697,"palmerpenguins"
"253",2021-04-10,497,"palmerpenguins"
"254",2021-04-11,463,"palmerpenguins"
"255",2021-04-12,707,"palmerpenguins"
"256",2021-04-13,679,"palmerpenguins"
"257",2021-04-14,820,"palmerpenguins"
"258",2021-04-15,852,"palmerpenguins"
"259",2021-04-16,782,"palmerpenguins"
"260",2021-04-17,556,"palmerpenguins"
"261",2021-04-18,613,"palmerpenguins"
"262",2021-04-19,795,"palmerpenguins"
"263",2021-04-20,850,"palmerpenguins"
"264",2021-04-21,832,"palmerpenguins"
"265",2021-04-22,935,"palmerpenguins"
"266",2021-04-23,800,"palmerpenguins"
"267",2021-04-24,632,"palmerpenguins"
"268",2021-04-25,549,"palmerpenguins"
"269",2021-04-26,849,"palmerpenguins"
"270",2021-04-27,825,"palmerpenguins"
"271",2021-04-28,820,"palmerpenguins"
"272",2021-04-29,749,"palmerpenguins"
"273",2021-04-30,754,"palmerpenguins"
"274",2021-05-01,432,"palmerpenguins"
"275",2021-05-02,462,"palmerpenguins"
"276",2021-05-03,660,"palmerpenguins"
"277",2021-05-04,784,"palmerpenguins"
"278",2021-05-05,774,"palmerpenguins"
"279",2021-05-06,789,"palmerpenguins"
"280",2021-05-07,800,"palmerpenguins"
"281",2021-05-08,610,"palmerpenguins"
"282",2021-05-09,525,"palmerpenguins"
"283",2021-05-10,677,"palmerpenguins"
"284",2021-05-11,692,"palmerpenguins"
"285",2021-05-12,837,"palmerpenguins"
"286",2021-05-13,773,"palmerpenguins"
"287",2021-05-14,690,"palmerpenguins"
"288",2021-05-15,504,"palmerpenguins"
"289",2021-05-16,629,"palmerpenguins"
"290",2021-05-17,917,"palmerpenguins"
"291",2021-05-18,879,"palmerpenguins"
"292",2021-05-19,1062,"palmerpenguins"
"293",2021-05-20,1005,"palmerpenguins"
"294",2021-05-21,869,"palmerpenguins"
"295",2021-05-22,527,"palmerpenguins"
"296",2021-05-23,539,"palmerpenguins"
"297",2021-05-24,826,"palmerpenguins"
"298",2021-05-25,897,"palmerpenguins"
"299",2021-05-26,836,"palmerpenguins"
"300",2021-05-27,738,"palmerpenguins"
"301",2021-05-28,697,"palmerpenguins"
"302",2021-05-29,586,"palmerpenguins"
"303",2021-05-30,531,"palmerpenguins"
"304",2021-05-31,743,"palmerpenguins"
"305",2021-06-01,918,"palmerpenguins"
"306",2021-06-02,773,"palmerpenguins"
"307",2021-06-03,791,"palmerpenguins"
"308",2021-06-04,714,"palmerpenguins"
"309",2021-06-05,543,"palmerpenguins"
"310",2021-06-06,488,"palmerpenguins"
"311",2021-06-07,767,"palmerpenguins"
"312",2021-06-08,898,"palmerpenguins"
"313",2021-06-09,744,"palmerpenguins"
"314",2021-06-10,830,"palmerpenguins"
"315",2021-06-11,737,"palmerpenguins"
"316",2021-06-12,515,"palmerpenguins"
"317",2021-06-13,596,"palmerpenguins"
"318",2021-06-14,814,"palmerpenguins"
"319",2021-06-15,939,"palmerpenguins"
"320",2021-06-16,839,"palmerpenguins"
"321",2021-06-17,784,"palmerpenguins"
"322",2021-06-18,674,"palmerpenguins"
"323",2021-06-19,551,"palmerpenguins"
"324",2021-06-20,596,"palmerpenguins"
"325",2021-06-21,812,"palmerpenguins"
"326",2021-06-22,1088,"palmerpenguins"
"327",2021-06-23,974,"palmerpenguins"
"328",2021-06-24,855,"palmerpenguins"
"329",2021-06-25,777,"palmerpenguins"
"330",2021-06-26,608,"palmerpenguins"
"331",2021-06-27,765,"palmerpenguins"
"332",2021-06-28,980,"palmerpenguins"
"333",2021-06-29,812,"palmerpenguins"
"334",2021-06-30,811,"palmerpenguins"
"335",2021-07-01,844,"palmerpenguins"
"336",2021-07-02,686,"palmerpenguins"
"337",2021-07-03,675,"palmerpenguins"
"338",2021-07-04,684,"palmerpenguins"
"339",2021-07-05,803,"palmerpenguins"
"340",2021-07-06,907,"palmerpenguins"
"341",2021-07-07,967,"palmerpenguins"
"342",2021-07-08,859,"palmerpenguins"
"343",2021-07-09,763,"palmerpenguins"
"344",2021-07-10,577,"palmerpenguins"
"345",2021-07-11,500,"palmerpenguins"
"346",2021-07-12,1020,"palmerpenguins"
"347",2021-07-13,906,"palmerpenguins"
"348",2021-07-14,853,"palmerpenguins"
"349",2021-07-15,949,"palmerpenguins"
"350",2021-07-16,671,"palmerpenguins"
"351",2021-07-17,496,"palmerpenguins"
"352",2021-07-18,569,"palmerpenguins"
"353",2021-07-19,800,"palmerpenguins"
"354",2021-07-20,872,"palmerpenguins"
"355",2021-07-21,1024,"palmerpenguins"
"356",2021-07-22,961,"palmerpenguins"
"357",2021-07-23,784,"palmerpenguins"
"358",2021-07-24,572,"palmerpenguins"
"359",2021-07-25,644,"palmerpenguins"
"360",2021-07-26,1290,"palmerpenguins"
"361",2021-07-27,1106,"palmerpenguins"
"362",2021-07-28,880,"palmerpenguins"
"363",2021-07-29,813,"palmerpenguins"
"364",2021-07-30,849,"palmerpenguins"
"365",2021-07-31,596,"palmerpenguins"
"366",2021-08-01,647,"palmerpenguins"
"367",2021-08-02,886,"palmerpenguins"
"368",2021-08-03,889,"palmerpenguins"
"369",2021-08-04,1008,"palmerpenguins"
"370",2021-08-05,916,"palmerpenguins"
"371",2021-08-06,745,"palmerpenguins"
"372",2021-08-07,461,"palmerpenguins"
"373",2021-08-08,579,"palmerpenguins"
"374",2021-08-09,1279,"palmerpenguins"
"375",2021-08-10,1146,"palmerpenguins"
"376",2021-08-11,989,"palmerpenguins"
"377",2021-08-12,931,"palmerpenguins"
"378",2021-08-13,750,"palmerpenguins"
"379",2021-08-14,468,"palmerpenguins"
"380",2021-08-15,460,"palmerpenguins"
"381",2021-08-16,859,"palmerpenguins"
"382",2021-08-17,746,"palmerpenguins"
"383",2021-08-18,651,"palmerpenguins"
"384",2021-08-19,752,"palmerpenguins"
"385",2021-08-20,755,"palmerpenguins"
"386",2021-08-21,405,"palmerpenguins"
"387",2021-08-22,495,"palmerpenguins"
"388",2021-08-23,813,"palmerpenguins"
"389",2021-08-24,720,"palmerpenguins"
